GATE_DUNGEON_DH_IN	147	106	1615,171	474,6941	48,43062
GATE_JINSI_IN	172	102	961,752	150,3979	1841,638
GATE_JINSI_OUT	7	128	0,0	54,86695	-3436,128
GATE_DUNGEON_DH_OUT	1	128	1133,312	2,629394E-05	-864,0532
GATE_JINSI_02x01_09	6	128	2,480554	223,8092	6596,712
GATE_JINSI_02x01_03	6	128	-10350,7	-0,1498022	5596,304
GATE_JINSI_01x01_12	7	128	-13792,42	-0,1496245	5596,304
GATE_JINSI_02x02_03	6	128	-3741,248	0,02077842	5592,118
GATE_JINSI_02x02_06	6	128	-6060,442	0,02113509	3265,275
GATE_JINSI_02x02_09	6	128	-8376,334	0,02095246	5592,118
GATE_JINSI_02x02_12-1	6	128	-6121,329	0,02116323	7905,937
GATE_JINSI_02x02_12-2	6	128	-5992,966	0,02116084	7905,937
GATE_JINSI_02x03_03-1	6	128	1683,726	-0,1498024	5659,472
GATE_JINSI_02x03_03-2	6	128	1683,726	-0,1498024	5524,638
GATE_JINSI_02x03_06-1	6	128	70,55829	-0,1494571	3950,708
GATE_JINSI_02x03_06-2	6	128	-64,2757	-0,1494571	3950,708
GATE_JINSI_02x03_09	6	128	-1746,131	-0,1496253	5596,304
GATE_JINSI_02x04_03	6	128	7927,694	-0,1498022	5596,304
GATE_JINSI_02x04_12	6	128	6207,352	-0,149418	7369,521
GATE_JINSI_02x05_03	6	128	13844,46	-0,1498022	5596,304
GATE_JINSI_02x05_06	6	128	12124,12	-0,1494471	3911,163
GATE_JINSI_02x05_09	6	128	10381,05	-0,1496251	5596,304
GATE_JINSI_02x06_09	6	128	10380,06	-0,1496251	-21,81689
GATE_JINSI_02x06_12	6	128	12123,13	-0,149418	1751,401
GATE_JINSI_02x07_03	6	128	7926,705	-0,1498022	-21,81689
GATE_JINSI_02x07_09	6	128	4463,292	-0,1496251	-21,81689
GATE_JINSI_02x07_12	6	128	6206,362	-0,149418	1751,401
GATE_JINSI_02x08_03	6	128	2315,648	0,02077842	-26,00171
GATE_JINSI_02x08_09	6	128	-2319,438	0,02095246	-26,00171
GATE_JINSI_02x09_03	6	128	-4340,386	-0,1498022	-21,81689
GATE_JINSI_02x09_09	6	128	-7803,799	-0,1496251	-21,81689
GATE_JINSI_02x10_03	6	128	-10351,71	-0,1498022	-21,81689
GATE_JINSI_02x10_06	6	128	-12072,06	-0,1494471	-1706,958
GATE_JINSI_02x11_03	6	128	-9752,582	0,02077842	-5819,771
GATE_JINSI_02x11_12	6	128	-12071,78	0,02116215	-3499,835
GATE_JINSI_02x12_03	6	128	-4339,396	-0,1498022	-5815,587
GATE_JINSI_02x12_09	6	128	-7802,809	-0,1496251	-5815,587
GATE_JINSI_02x12_12-1	6	128	-6133,36	-0,149417	-4064,668
GATE_JINSI_02x12_12-2	6	128	-5990,87	-0,1494193	-4064,668
GATE_JINSI_02x13_03-1	6	128	1691,857	-0,1498023	-5739,001
GATE_JINSI_02x13_03-2	6	128	1691,857	-0,1498023	-5884,172
GATE_JINSI_02x13_06-1	6	128	75,33374	-0,149459	-7458,257
GATE_JINSI_02x13_06-2	6	128	-69,83737	-0,1494485	-7458,257
GATE_JINSI_02x13_09-1	6	128	-1694,567	-0,1496456	-5884,172
GATE_JINSI_02x13_09-2	6	128	-1694,567	-0,1495847	-5739,001
GATE_JINSI_02x13_12-1	6	128	-69,83737	-0,1494172	-4075,869
GATE_JINSI_02x13_12-2	6	128	75,33374	-0,1494195	-4075,869
GATE_JINSI_02x14_03	6	128	7927,692	-0,1498022	-5815,587
GATE_JINSI_02x14_09	6	128	4464,279	-0,1496251	-5815,587
GATE_JINSI_02x15_03	6	128	14442,61	0,02077842	-5819,771
GATE_JINSI_02x15_09	6	128	9807,525	0,02095246	-5819,771
GATE_JINSI_02x16_03	6	128	19820,84	-0,1498023	-5815,587
GATE_JINSI_02x16_09	6	128	16363,55	-0,1496251	-5815,587
GATE_JINSI_02x20_09	6	128	16363,55	-0,1496251	5596,304
GATE_JINSI_02x30_03	6	128	-16430,7	-0,1498022	-21,81689
GATE_JINSI_02x40_09	6	128	16362,55	-0,1496251	-21,81689
GATE_JINSI_02x50_03	6	128	-16429,7	-0,1498022	-5815,587
GATE_JINSI_03x01	5	128	287,457	72,5771	201,3873
GATE_JINSI_03x02	5	128	19411,56	549,7809	15667,56
GATE_JINSI_03x03	5	128	15720,86	549,7809	-19219,75
GATE_JINSI_03x04	5	128	-19367,25	584,1299	-16035,86
GATE_JINSI_03x05	5	128	-15574,96	549,7809	20053,46
GATE_JINSI_04x02	4	128	18608,02	-78,54486	14352,41
GATE_JINSI_04x03	4	128	15476,43	-107,0939	-20120,17
GATE_JINSI_04x04	4	128	-18188,47	-106,9299	-14343,53
GATE_JINSI_04x05	4	128	-15056,87	-78,48087	20129,17
GATE_JINSI_05x01-1	3	128	1498,258	59,47116	1650,872
GATE_JINSI_05x01-2	3	128	-1349,003	6,717875	1104,447
GATE_JINSI_05x01-3	3	128	1815,15	68,06355	-1333,981
GATE_JINSI_06x02_06	2	128	-40,79844	-49,36982	4587,047
GATE_JINSI_06x03_09	2	128	4584,865	-49,36982	38,61931
GATE_JINSI_06x04_12	2	128	36,44011	-49,36982	-4587,045
GATE_JINSI_06x05_03	2	128	-4589,225	-49,36982	-38,61874
